"fy_ef","org_id","org_name","voted_or_statutory","description","authorities","expenditures"
"FY 2012-13",46,"Canada Revenue Agency","S","Court Awards",1509627.00,1509627.00
"FY 2012-13",46,"Canada Revenue Agency","S","Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",136912762.00,136912762.00
"FY 2012-13",46,"Canada Revenue Agency","S","Losses on Foreign Exchange",8045.00,8045.00
"FY 2012-13",46,"Canada Revenue Agency","S","Payments under the Energy Costs Assistance Measures Act",2000.00,2000.00
"FY 2012-13",46,"Canada Revenue Agency","S","Salary and Motor Car Allowance",77516.00,77516.00
"FY 2012-13",46,"Canada Revenue Agency","S","Spending of proceeds from the disposal of surplus Crown assets",132607.00,132607.00
"FY 2012-13",46,"Canada Revenue Agency","S","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",166976789.00,166976789.00
"FY 2012-13",47,"Canada School of Public Service",40,"Operating/Program",51793642.00,45452288.00
"FY 2012-13",47,"Canada School of Public Service","S","Contributions to employee benefit plans",9808559.00,9808559.00
"FY 2012-13",47,"Canada School of Public Service","S","Spending of proceeds from the disposal of surplus Crown assets",14483.00,730.00
"FY 2012-13",47,"Canada School of Public Service","S","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",73395045.00,42003650.00
"FY 2012-13",51,"Canadian Air Transport Security Authority",20,"Payments to Crown Corps",576397810.00,513369000.00
"FY 2012-13",52,"Canadian Artists and Producers Professional Relations Tribunal",20,"Operating/Program",2064760.00,1321541.00
"FY 2012-13",52,"Canadian Artists and Producers Professional Relations Tribunal","S","Contributions to employee benefit plans",191849.00,191849.00
"FY 2012-13",53,"Canadian Broadcasting Corporation",15,"Payments to Crown Corps",999484060.00,999484060.00
"FY 2012-13",53,"Canadian Broadcasting Corporation",20,"Payments to Crown Corps",4000000.00,4000000.00
"FY 2012-13",53,"Canadian Broadcasting Corporation",25,"Payments to Crown Corps",103035000.00,103035000.00
"FY 2012-13",55,"Canadian Centre for Occupational Health and Safety",25,"Operating/Program",4765887.00,4353993.00
"FY 2012-13",55,"Canadian Centre for Occupational Health and Safety","S","Contributions to employee benefit plans",1103322.00,1103322.00
"FY 2012-13",58,"Canadian Commercial Corporation",20,"Payments to Crown Corps",15481540.00,15481540.00
"FY 2012-13",61,"Canadian Dairy Commission",15,"Operating/Program",4086096.00,4086096.00
"FY 2012-13",63,"Impact Assessment Agency of Canada",15,"Operating/Program",30242001.00,26140619.00
"FY 2012-13",63,"Impact Assessment Agency of Canada","S","Contributions to employee benefit plans",1808206.00,1808206.00
"FY 2012-13",63,"Impact Assessment Agency of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",98.00,0.00
"FY 2012-13",65,"Canadian Food Inspection Agency",20,"Operating/Program",624955853.00,598623500.00
"FY 2012-13",65,"Canadian Food Inspection Agency",25,"Capital",39465121.00,31533159.00
"FY 2012-13",65,"Canadian Food Inspection Agency","S","Collection Agency Fees",5745.00,5745.00
"FY 2012-13",65,"Canadian Food Inspection Agency","S","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",39075440.00,39075440.00
"FY 2012-13",65,"Canadian Food Inspection Agency","S","Contributions to employee benefit plans",81891334.00,81891334.00
"FY 2012-13",65,"Canadian Food Inspection Agency","S","Refunds of amounts credited to revenues in previous years",318.00,318.00
"FY 2012-13",65,"Canadian Food Inspection Agency","S","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",60757651.00,30636010.00
"FY 2012-13",65,"Canadian Food Inspection Agency","S","Spending of proceeds from the disposal of surplus Crown assets",580936.00,290219.00
"FY 2012-13",69,"Canadian Grain Commission",30,"Operating/Program",31629611.00,31629611.00
"FY 2012-13",69,"Canadian Grain Commission","S","Canadian Grain Commission Revolving Fund",39704815.00,4847958.00
"FY 2012-13",69,"Canadian Grain Commission","S","Contributions to employee benefit plans",622222.00,622222.00
"FY 2012-13",69,"Canadian Grain Commission","S","Spending of proceeds from the disposal of surplus Crown assets",34455.00,34455.00
"FY 2012-13",71,"Canadian Human Rights Commission",10,"Operating/Program",22752606.00,21475813.00
"FY 2012-13",71,"Canadian Human Rights Commission","S","Contributions to employee benefit plans",2907363.00,2907363.00
"FY 2012-13",72,"Canadian Human Rights Tribunal",15,"Operating/Program",4509068.00,3858108.00
"FY 2012-13",72,"Canadian Human Rights Tribunal","S","Contributions to employee benefit plans",361501.00,361501.00
"FY 2012-13",74,"Canadian Institutes of Health Research",20,"Operating/Program",52860414.00,50146637.00
"FY 2012-13",74,"Canadian Institutes of Health Research",25,"Grants & Contributions",949074958.00,940773074.00
"FY 2012-13",74,"Canadian Institutes of Health Research","S","Contributions to employee benefit plans",6133031.00,6133031.00
"FY 2012-13",76,"Canadian Intergovernmental Conference Secretariat",5,"Operating/Program",6594044.00,4829776.00
"FY 2012-13",76,"Canadian Intergovernmental Conference Secretariat",7,"Other",58.00,57.00
"FY 2012-13",76,"Canadian Intergovernmental Conference Secretariat","S","Contributions to employee benefit plans",325647.00,325647.00
"FY 2012-13",77,"Canadian International Development Agency",25,"Operating/Program",201963651.00,194095452.00
"FY 2012-13",77,"Canadian International Development Agency",30,"Grants & Contributions",3150878110.00,2860377838.00
"FY 2012-13",77,"Canadian International Development Agency","S","Advance Market Commitment for Pneumococcal Vaccines",24443233.00,24443233.00
"FY 2012-13",77,"Canadian International Development Agency","S","Contributions to employee benefit plans",26895264.00,26895264.00
"FY 2012-13",77,"Canadian International Development Agency","S","Losses on Foreign Exchange",14917236.00,14917236.00
"FY 2012-13",77,"Canadian International Development Agency","S","Payments to International Financial Institutions - Direct payments",247881121.00,247881121.00
"FY 2012-13",77,"Canadian International Development Agency","S","Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan",303048359.00,40864654.00
"FY 2012-13",77,"Canadian International Development Agency","S","Salary and Motor Car Allowance",77516.00,77516.00
"FY 2012-13",77,"Canadian International Development Agency","S","Spending of proceeds from the disposal of surplus Crown assets",5120.00,5120.00
"FY 2012-13",79,"Canadian International Trade Tribunal",25,"Operating/Program",10773537.00,10307575.00
"FY 2012-13",79,"Canadian International Trade Tribunal","S","Contributions to employee benefit plans",1192867.00,1192867.00
"FY 2012-13",79,"Canadian International Trade Tribunal","S","Spending of proceeds from the disposal of surplus Crown assets",885.00,885.00
"FY 2012-13",81,"Canadian Museum for Human Rights",30,"Payments to Crown Corps",56935796.00,56935796.00
"FY 2012-13",82,"Canadian Museum of History",35,"Payments to Crown Corps",64364831.00,64364831.00
"FY 2012-13",84,"Canadian Museum of Immigration at Pier 21",40,"Payments to Crown Corps",9976473.00,9976473.00
"FY 2012-13",85,"Canadian Museum of Nature",45,"Payments to Crown Corps",34370062.00,34370062.00
"FY 2012-13",86,"Canadian Northern Economic Development Agency",30,"Operating/Program",13867834.00,12720066.00
"FY 2012-13",86,"Canadian Northern Economic Development Agency",35,"Grants & Contributions",39861803.00,38365705.00
"FY 2012-13",86,"Canadian Northern Economic Development Agency","S","Contributions to employee benefit plans",1302839.00,1302839.00
"FY 2012-13",87,"Canadian Nuclear Safety Commission",20,"Operating/Program",40407092.00,37676689.00
"FY 2012-13",87,"Canadian Nuclear Safety Commission","S","Contributions to employee benefit plans",14659788.00,14659788.00
"FY 2012-13",87,"Canadian Nuclear Safety Commission","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",89544119.00,87308726.00
"FY 2012-13",87,"Canadian Nuclear Safety Commission","S","Spending of proceeds from the disposal of surplus Crown assets",54041.00,53951.00
"FY 2012-13",93,"Canadian Radio-television and Telecommunications Commission",50,"Operating/Program",12540836.00,8411912.00
"FY 2012-13",93,"Canadian Radio-television and Telecommunications Commission","S","Contributions to employee benefit plans",6321849.00,6321849.00
"FY 2012-13",93,"Canadian Radio-television and Telecommunications Commission","S","Spending of proceeds from the disposal of surplus Crown assets",3435.00,0.00
"FY 2012-13",94,"Canadian Security Intelligence Service",20,"Operating/Program",486635856.00,450434151.00
"FY 2012-13",94,"Canadian Security Intelligence Service","S","Contributions to employee benefit plans",45663041.00,45663041.00
"FY 2012-13",94,"Canadian Security Intelligence Service","S","Refunds of amounts credited to revenues in previous years",3326.00,3326.00
"FY 2012-13",94,"Canadian Security Intelligence Service","S","Spending of proceeds from the disposal of surplus Crown assets",640265.00,320431.00
"FY 2012-13",95,"Canadian Space Agency",25,"Operating/Program",176416453.00,168611889.00
"FY 2012-13",95,"Canadian Space Agency",30,"Capital",162227680.00,110576477.00
"FY 2012-13",95,"Canadian Space Agency",35,"Grants & Contributions",37599169.00,30669125.00
"FY 2012-13",95,"Canadian Space Agency","S","Contributions to employee benefit plans",10367049.00,10367049.00
"FY 2012-13",95,"Canadian Space Agency","S","Spending of proceeds from the disposal of surplus Crown assets",24497.00,20875.00
"FY 2012-13",97,"Canadian Tourism Commission",40,"Payments to Crown Corps",72032802.00,71495802.00
"FY 2012-13",98,"Canadian Transportation Accident Investigation and Safety Board",10,"Operating/Program",29481754.00,28046242.00
"FY 2012-13",98,"Canadian Transportation Accident Investigation and Safety Board","S","Contributions to employee benefit plans",3546858.00,3546858.00
"FY 2012-13",98,"Canadian Transportation Accident Investigation and Safety Board","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",37357.00,37357.00
"FY 2012-13",98,"Canadian Transportation Accident Investigation and Safety Board","S","Spending of proceeds from the disposal of surplus Crown assets",53900.00,25820.00
"FY 2012-13",99,"Canadian Transportation Agency",25,"Operating/Program",26401209.00,25289763.00
"FY 2012-13",99,"Canadian Transportation Agency","S","Contributions to employee benefit plans",3410858.00,3410858.00
"FY 2012-13",99,"Canadian Transportation Agency","S","Spending of proceeds from the disposal of surplus Crown assets",223.00,223.00
"FY 2012-13",110,"Communications Security Establishment",20,"Operating/Program",408766775.00,382112733.00
"FY 2012-13",110,"Communications Security Establishment","S","Contributions to employee benefit plans",32291131.00,32291131.00
"FY 2012-13",110,"Communications Security Establishment","S","Losses on Foreign Exchange",90693.00,90693.00
"FY 2012-13",110,"Communications Security Establishment","S","Spending of proceeds from the disposal of surplus Crown assets",27119.00,0.00
"FY 2012-13",114,"Copyright Board",45,"Operating/Program",2956007.00,2265653.00
"FY 2012-13",114,"Copyright Board","S","Contributions to employee benefit plans",243332.00,243332.00
"FY 2012-13",117,"Correctional Service of Canada",25,"Operating/Program",2415408296.00,1968711838.00
"FY 2012-13",117,"Correctional Service of Canada",30,"Capital",547553914.00,437736337.00
"FY 2012-13",117,"Correctional Service of Canada","S","CORCAN Revolving Fund",6740414.00,1257479.00
"FY 2012-13",117,"Correctional Service of Canada","S","Contributions to employee benefit plans",234153300.00,234153300.00
"FY 2012-13",117,"Correctional Service of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",2588791.00,1140257.00
"FY 2012-13",118,"Courts Administration Service",30,"Operating/Program",64244467.00,58571802.00
"FY 2012-13",118,"Courts Administration Service","S","Contributions to employee benefit plans",7000020.00,7000020.00
"FY 2012-13",118,"Courts Administration Service","S","Refunds of amounts credited to revenues in previous years",4450.00,4450.00
"FY 2012-13",118,"Courts Administration Service","S","Spending of proceeds from the disposal of surplus Crown assets",11734.00,7935.00
"FY 2012-13",122,"Department of Canadian Heritage",1,"Operating/Program",188992889.00,178306584.00
"FY 2012-13",122,"Department of Canadian Heritage",5,"Grants & Contributions",1056305787.00,1041770492.00
"FY 2012-13",122,"Department of Canadian Heritage","S","Contributions to employee benefit plans",24843182.00,24843182.00
"FY 2012-13",122,"Department of Canadian Heritage","S","Payments under the Lieutenant Governors Superannuation Act",892551.00,892551.00
