fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2012-13,305,Shared Services Canada,S,Spending of proceeds from the disposal of surplus Crown assets,2438,0
FY 2012-13,306,Social Sciences and Humanities Research Council,90,Operating/Program,26053628,24823822
FY 2012-13,306,Social Sciences and Humanities Research Council,95,Grants & Contributions,670768648,668650802
FY 2012-13,306,Social Sciences and Humanities Research Council,S,Collection Agency Fees,195,195
FY 2012-13,306,Social Sciences and Humanities Research Council,S,Contributions to employee benefit plans,2951085,2951085
FY 2012-13,306,Social Sciences and Humanities Research Council,S,Spending of proceeds from the disposal of surplus Crown assets,19910,6679
FY 2012-13,312,Standards Council of Canada,100,Payments to Crown Corps,10318993,10318993
FY 2012-13,313,Statistics Canada,105,Operating/Program,472275325,440054094
FY 2012-13,313,Statistics Canada,S,Contributions to employee benefit plans,79824189,79824189
FY 2012-13,313,Statistics Canada,S,Spending of proceeds from the disposal of surplus Crown assets,13026,13026
FY 2012-13,315,Telefilm Canada,115,Payments to Crown Corps,105667144,102968394
FY 2012-13,324,Transportation Appeal Tribunal of Canada,55,Operating/Program,1534899,1461404
FY 2012-13,324,Transportation Appeal Tribunal of Canada,S,Contributions to employee benefit plans,123514,123514
FY 2012-13,324,Transportation Appeal Tribunal of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,39,0
FY 2012-13,326,Treasury Board Secretariat,1,Operating/Program,255132091,231877492
FY 2012-13,326,Treasury Board Secretariat,10,Treasury Board Central,2093000,0
FY 2012-13,326,Treasury Board Secretariat,20,Treasury Board Central,2277219568,2057349583
FY 2012-13,326,Treasury Board Secretariat,25,Treasury Board Central,0,0
FY 2012-13,326,Treasury Board Secretariat,30,Treasury Board Central,26193198,0
FY 2012-13,326,Treasury Board Secretariat,33,Treasury Board Central,219655751,0
FY 2012-13,326,Treasury Board Secretariat,5,Treasury Board Central,750000000,0
FY 2012-13,326,Treasury Board Secretariat,S,Contributions to employee benefit plans,29698196,29698196
FY 2012-13,326,Treasury Board Secretariat,S,Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act,443000000,443000000
FY 2012-13,326,Treasury Board Secretariat,S,Payments for the Pay Equity Settlement,22180,22180
FY 2012-13,326,Treasury Board Secretariat,S,Payments under the Public Service Pension Adjustment Act,1046,1046
FY 2012-13,326,Treasury Board Secretariat,S,Salary and Motor Car Allowance,77516,77516
FY 2012-13,326,Treasury Board Secretariat,S,Spending of proceeds from the disposal of surplus Crown assets,25233,0
FY 2012-13,333,Veterans Review and Appeal Board,10,Operating/Program,10685275,10354058
FY 2012-13,333,Veterans Review and Appeal Board,S,Contributions to employee benefit plans,1609413,1609413
FY 2012-13,334,VIA Rail Canada Inc.,60,Payments to Crown Corps,475651000,419958000
FY 2012-13,552,Canadian High Arctic Research Station,25,Operating/Program,1262944,1220138
FY 2012-13,552,Canadian High Arctic Research Station,S,Contributions to employee benefit plans,97597,97597
FY 2013-14,1,Department of Agriculture and Agri-Food,1,Operating/Program,730683812,703004588
FY 2013-14,1,Department of Agriculture and Agri-Food,10,Grants & Contributions,447925111,324354015
FY 2013-14,1,Department of Agriculture and Agri-Food,5,Capital,34848685,30768006
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Canadian Cattlemen's Association Legacy Fund,4453481,4453481
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Canadian Pari-Mutuel Agency Revolving Fund,5315279,-2158401
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Class grant payments for the Farm Income program,-2859,-2859
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Class grant payments for the Transitional Industry Support program,-10187,-10187
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Contribution payments for the AgriInsurance program,750830429,750830429
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,-4836724,-4836724
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-436178,-436178
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management,-1227300,-1227300
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Contributions in support of the Assistance to the Pork Industry Initiative,-3685687,-3685687
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Contributions to employee benefit plans,79197066,79197066
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grant and Contribution Payments for the AgriInvest Program,233404378,233404378
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grant and Contribution Payments for the AgriStability Program,192759272,192759272
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grant payments for the AgriInvest Kickstart program,-48524,-48524
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-163039,-163039
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grants in support of the Cost of Production Benefit,-6634,-6634
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grants in support of the Grain and Oilseed Payment program,-34421,-34421
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Grants to agencies established under the Farm Products Agencies Act,600000,0
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Loan guarantees under the Canadian Agricultural Loans Act,-12829,-12829
FY 2013-14,1,Department of Agriculture and Agri-Food,S,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",79080584,79080584
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Payments in connection with the Farm Income Protection Act - Province-Based Programs,-1106213,-1106213
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Refunds of amounts credited to revenues in previous years,4121,4121
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Salary and Motor Car Allowance,78700,78700
FY 2013-14,1,Department of Agriculture and Agri-Food,S,Spending of proceeds from the disposal of surplus Crown assets,8975062,2692686
FY 2013-14,2,House of Commons,5,Operating/Program,296145501,277998639
FY 2013-14,2,House of Commons,S,Contributions to employee benefit plans,34416770,34416770
FY 2013-14,2,House of Commons,S,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,102195629,102195629
FY 2013-14,12,Atlantic Canada Opportunities Agency,1,Operating/Program,74725659,69058793
FY 2013-14,12,Atlantic Canada Opportunities Agency,5,Grants & Contributions,236733470,236733461
FY 2013-14,12,Atlantic Canada Opportunities Agency,S,Contributions to employee benefit plans,8346591,8346591
FY 2013-14,12,Atlantic Canada Opportunities Agency,S,Salary and Motor Car Allowance,1425,1425
FY 2013-14,12,Atlantic Canada Opportunities Agency,S,Spending of proceeds from the disposal of surplus Crown assets,28877,17838
FY 2013-14,14,Atomic Energy of Canada Limited,15,Payments to Crown Corps,378062900,351762900
FY 2013-14,14,Atomic Energy of Canada Limited,S,Payments to Atomic Energy of Canada Limited,33700000,33700000
FY 2013-14,26,Canada Border Services Agency,10,Operating/Program,1770005090,1540450182
FY 2013-14,26,Canada Border Services Agency,15,Capital,230351926,121932181
FY 2013-14,26,Canada Border Services Agency,S,Contributions to employee benefit plans,187286618,187286618
FY 2013-14,26,Canada Border Services Agency,S,Refunds of amounts credited to revenues in previous years,32237,32237
FY 2013-14,26,Canada Border Services Agency,S,Spending of proceeds from the disposal of surplus Crown assets,577473,410284
FY 2013-14,29,Canada Council for the Arts,10,Payments to Crown Corps,181974388,181974388
FY 2013-14,39,Canada Industrial Relations Board,10,Operating/Program,12591232,11752579
FY 2013-14,39,Canada Industrial Relations Board,S,Contributions to employee benefit plans,1504627,1504627
FY 2013-14,39,Canada Industrial Relations Board,S,Spending of proceeds from the disposal of surplus Crown assets,201,0
FY 2013-14,42,Canada Mortgage and Housing Corporation,15,Payments to Crown Corps,2100578000,2054849627
FY 2013-14,42,Canada Mortgage and Housing Corporation,S,"Pursuant to Section 129 of the Economic Action Plan 2013 Act, No. 1, a payment to CHC to provide funding to Nunavut for housing in a sum not exceeding $30,000,000",30000000,30000000
FY 2013-14,44,Canada Post Corporation,15,Payments to Crown Corps,22210000,22210000
FY 2013-14,46,Canada Revenue Agency,1,Operating/Program,3392504128,3097500944
FY 2013-14,46,Canada Revenue Agency,5,Capital,110011806,63301048
FY 2013-14,46,Canada Revenue Agency,S,Children's special allowance payments,235403434,235403434
FY 2013-14,46,Canada Revenue Agency,S,Contributions to employee benefit plans,458804991,458804991
FY 2013-14,46,Canada Revenue Agency,S,Court Awards,24353,24353
FY 2013-14,46,Canada Revenue Agency,S,Court Awards,1131905,1131905
FY 2013-14,46,Canada Revenue Agency,S,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",42344675,42344675
FY 2013-14,46,Canada Revenue Agency,S,Losses on Foreign Exchange,731,731
FY 2013-14,46,Canada Revenue Agency,S,Payments under the Energy Costs Assistance Measures Act,500,500
FY 2013-14,46,Canada Revenue Agency,S,Refunds of amounts credited to revenues in previous years,30000,30000
FY 2013-14,46,Canada Revenue Agency,S,Salary and Motor Car Allowance,78700,78700
FY 2013-14,46,Canada Revenue Agency,S,Spending of proceeds from the disposal of surplus Crown assets,222344,222344
FY 2013-14,46,Canada Revenue Agency,S,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,164015731,164015731
FY 2013-14,47,Canada School of Public Service,40,Operating/Program,45979928,42820558
FY 2013-14,47,Canada School of Public Service,S,Contributions to employee benefit plans,8682903,8682903
FY 2013-14,47,Canada School of Public Service,S,Spending of proceeds from the disposal of surplus Crown assets,18000,13183
FY 2013-14,47,Canada School of Public Service,S,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,71980586,33244937
FY 2013-14,51,Canadian Air Transport Security Authority,20,Payments to Crown Corps,598286200,559065861
FY 2013-14,53,Canadian Broadcasting Corporation,15,Payments to Crown Corps,975617798,975617798
FY 2013-14,53,Canadian Broadcasting Corporation,20,Payments to Crown Corps,4000000,4000000
FY 2013-14,53,Canadian Broadcasting Corporation,25,Payments to Crown Corps,103856000,103856000
FY 2013-14,55,Canadian Centre for Occupational Health and Safety,20,Operating/Program,4619460,4129766
FY 2013-14,55,Canadian Centre for Occupational Health and Safety,S,Contributions to employee benefit plans,1117425,1117425
FY 2013-14,58,Canadian Commercial Corporation,20,Payments to Crown Corps,15656400,15656400
FY 2013-14,61,Canadian Dairy Commission,15,Operating/Program,4466421,4456273
FY 2013-14,63,Impact Assessment Agency of Canada,15,Operating/Program,31438994,29571920
FY 2013-14,63,Impact Assessment Agency of Canada,S,Contributions to employee benefit plans,3056560,3056560
FY 2013-14,65,Canadian Food Inspection Agency,11,Operating/Program,600051819,590256209
FY 2013-14,65,Canadian Food Inspection Agency,13,Capital,26075622,21464985
FY 2013-14,65,Canadian Food Inspection Agency,S,Collection Agency Fees,6233,6233
