"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2016-17","Department of Finance","Main Estimates","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-4043422000
"FY 2016-17","Department of Finance","Main Estimates","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",16026000
"FY 2016-17","Department of Finance","Main Estimates","Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",33255000
"FY 2016-17","Department of Finance","Main Estimates","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",51200000
"FY 2016-17","Department of Finance","Main Estimates","Other Interest Costs",7094000000
"FY 2016-17","Department of Finance","Main Estimates","Interest on Unmatured Debt",15688000000
"FY 2016-17","Department of Fisheries and Oceans","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Fisheries and Oceans","Main Estimates","Contributions to employee benefit plans",127280423
"FY 2016-17","Department of Foreign Affairs, Trade and Development","Main Estimates","Contributions to employee benefit plans",107091769
"FY 2016-17","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments under the Diplomatic Service (Special) Superannuation Act",250000
"FY 2016-17","Department of Foreign Affairs, Trade and Development","Main Estimates","Salary and Motor Car Allowance",250500
"FY 2016-17","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments to International Financial Institutions - Direct payments",245000000
"FY 2016-17","Department of Health","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Health","Main Estimates","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",51462891
"FY 2016-17","Department of Health","Main Estimates","Contributions to employee benefit plans",125364209
"FY 2016-17","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act)",2071932904
"FY 2016-17","Department of Housing, Infrastructure and Communities","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions to employee benefit plans",5874979
"FY 2016-17","Department of Industry","Main Estimates","Contributions to employee benefit plans",57433499
"FY 2016-17","Department of Industry","Main Estimates","Liabilities under the Canada Small Business Financing Act",77908000
"FY 2016-17","Department of Industry","Main Estimates","Grant and Contribution to Genome Canada",68000000
"FY 2016-17","Department of Industry","Main Estimates","Canadian Intellectual Property Office Revolving Fund",18959066
"FY 2016-17","Department of Industry","Main Estimates","Salary and Motor Car Allowance",87500
"FY 2016-17","Department of Justice","Main Estimates","Contributions to employee benefit plans",78543454
"FY 2016-17","Department of Justice","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of National Defence","Main Estimates","Payments under Parts I-IV of the Defence Services Pension Continuation Act",600000
"FY 2016-17","Department of National Defence","Main Estimates","Contributions to employee benefit plans (Members of the Military)",1009616089
"FY 2016-17","Department of National Defence","Main Estimates","Contributions to employee benefit plans",301573636
"FY 2016-17","Department of National Defence","Main Estimates","Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",25700
"FY 2016-17","Department of National Defence","Main Estimates","Payments under the Supplementary Retirement Benefits Act",2700000
"FY 2016-17","Department of National Defence","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Natural Resources","Main Estimates","Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources",2407505
"FY 2016-17","Department of Natural Resources","Main Estimates","Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund",713252922
"FY 2016-17","Department of Natural Resources","Main Estimates","Payments to the Nova Scotia Offshore Revenue Account",14828231
"FY 2016-17","Department of Natural Resources","Main Estimates","Contribution to the Canada/Nova Scotia Offshore Petroleum Board",4012500
"FY 2016-17","Department of Natural Resources","Main Estimates","Contribution to the Canada/Newfoundland Offshore Petroleum Board",8835000
"FY 2016-17","Department of Natural Resources","Main Estimates","Contributions to employee benefit plans",53296914
"FY 2016-17","Department of Natural Resources","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Public Safety and Emergency Preparedness","Main Estimates","Contributions to employee benefit plans",15927088
"FY 2016-17","Department of Public Safety and Emergency Preparedness","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Public Works and Government Services","Main Estimates","Real Property Services Revolving Fund",2600000
"FY 2016-17","Department of Public Works and Government Services","Main Estimates","Translation Bureau Revolving Fund",-319317
"FY 2016-17","Department of Public Works and Government Services","Main Estimates","Contributions to employee benefit plans",121005086
"FY 2016-17","Department of Public Works and Government Services","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Transport","Main Estimates","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",127200000
"FY 2016-17","Department of Transport","Main Estimates","Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act",65343888
"FY 2016-17","Department of Transport","Main Estimates","Contributions to employee benefit plans",70415025
"FY 2016-17","Department of Transport","Main Estimates","Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
"FY 2016-17","Department of Transport","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Veterans Affairs","Main Estimates","Returned Soldiers Insurance Actuarial Liability Adjustment",10000
"FY 2016-17","Department of Veterans Affairs","Main Estimates","Contributions to employee benefit plans",31890805
"FY 2016-17","Department of Veterans Affairs","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of Veterans Affairs","Main Estimates","Veterans Insurance Actuarial Liability Adjustment",175000
"FY 2016-17","Department of Veterans Affairs","Main Estimates","Re-establishment credits under section 8 of the War Service Grants Act",12000
"FY 2016-17","Department of Western Economic Diversification","Main Estimates","Contributions to employee benefit plans",4088068
"FY 2016-17","Department of the Environment","Main Estimates","Salary and Motor Car Allowance",83500
"FY 2016-17","Department of the Environment","Main Estimates","Contributions to employee benefit plans",81849346
"FY 2016-17","Economic Development Agency of Canada for the Regions of Quebec","Main Estimates","Contributions to employee benefit plans",4917420
"FY 2016-17","Federal Economic Development Agency for Southern Ontario","Main Estimates","Contributions to employee benefit plans",3214356
"FY 2016-17","Financial Transactions and Reports Analysis Centre of Canada","Main Estimates","Contributions to employee benefit plans",5654561
"FY 2016-17","House of Commons","Main Estimates","Contributions to employee benefit plans",38392063
"FY 2016-17","House of Commons","Main Estimates","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",118039161
"FY 2016-17","Immigration and Refugee Board","Main Estimates","Contributions to employee benefit plans",13668619
